RegionID,SizeRank,RegionName,RegionType,StateName,7/31/08,7/31/09,7/31/10,7/31/11,7/31/12,7/31/13,7/31/14,7/31/15,7/31/16,7/31/17,7/31/18,7/31/19,7/31/20
394308,60,"Albany, NY",Msa,NY,186500,176000,179250,184000,190250,187500,189000,187000,189000,195000,200000,212000,210750
394352,94,"Augusta, GA",Msa,GA,140000,143200,140000,143700,149900,152000,156249,162900,163313,165000,185000,188000,210000
395091,641,"Shelbyville, TN",Msa,TN,99250,119700,60000,99950,99000,88500,114950,137000,142250,166000,162500,180000,210000
394486,72,"Columbia, SC",Msa,SC,148420,149945,149990,149950,145201,158000,157900,158000,166000,170797,174947,189639,205999
395235,81,"Winston-Salem, NC",Msa,NC,145000,134000,133000,131500,125500,136750,135000,147000,145000,159000,160000,183000,203000
394935,42,"Oklahoma City, OK",Msa,OK,127000,132000,130000,136000,140000,153000,160000,165000,170000,172250,175000,185000,202880
395169,55,"Tulsa, OK",Msa,OK,132000,130000,140000,132000,138000,150000,156500,152000,163000,169950,166000,178000,200000
394982,22,"Pittsburgh, PA",Msa,PA,134000,130000,130000,138000,144000,149900,150750,159900,160000,169900,175000,185000,199000
394648,73,"Greensboro, NC",Msa,NC,143000,140000,139500,128000,132750,146000,142000,144500,151750,163000,167000,175000,195000
394746,128,"Killeen, TX",Msa,TX,124400,124279,126975,125000,130000,131500,134900,147870,148250,158240,164510,168000,190000
394425,47,"Buffalo, NY",Msa,NY,117000,122500,129900,132250,130000,138700,133381,141218,150000,155000,169950,173000,185000
394798,76,"Little Rock, AR",Msa,AR,141000,145000,147000,140000,150000,155000,155000,156200,156394,159900,169900,169000,185000
394309,527,"Albemarle, NC",Msa,NC,130000,92750,73000,120000,129000,120000,102500,125500,125500,144700,142500,173250,184100
395224,82,"Wichita, KS",Msa,KS,122750,119450,121600,109900,133535,122250,138250,134700,138500,153900,145000,168250,180000
394561,68,"El Paso, TX",Msa,TX,137000,129970,135725,131475,137225,146500,143213,150215,146000,151600,160000,165000,178475
394475,29,"Cleveland, OH",Msa,OH,137250,127000,129900,129900,137000,140000,137000,142000,142500,150000,149374,162500,175000
395031,51,"Rochester, NY",Msa,NY,125500,126000,129900,129752,130000,142000,140000,144900,145000,149900,158000,163000,175000
394927,149,"Ocala, FL",Msa,FL,147100,120000,109000,94000,105000,106500,116950,118950,139000,150000,160250,166000,173750
394304,74,"Akron, OH",Msa,OH,130000,124150,115000,131250,123500,140000,131000,143000,137500,155000,150000,160000,170000
394813,189,"Macon-Bibb County, GA",Msa,GA,125000,125000,118250,98000,118950,120750,119000,124000,125000,131550,134900,141950,169400
395230,672,"Wilmington, OH",Msa,OH,121900,107500,82000,78900,86000,89900,122250,129000,124900,125000,138500,120000,167000
394521,70,"Dayton, OH",Msa,OH,132900,129900,127250,116500,138250,140000,129450,124900,129000,130000,152500,149900,163000
395143,79,"Syracuse, NY",Msa,NY,126500,122900,120000,125000,133000,136620,132500,134200,140000,142750,144900,155000,162300
395160,86,"Toledo, OH",Msa,OH,113150,115500,105000,99250,112000,114950,116000,124950,120400,128000,135000,135000,156000
